Raw Data 		Experiment - 160518_NUDT4_K401B_Tm_shift (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-580	
A1	Sample 1	1	2	1	11240	24.17	7.01
A1	Sample 1	1	2	1	12510	24.5	7.01
A1	Sample 1	1	2	1	13780	24.91	7.04
A1	Sample 1	1	2	1	15040	25.24	7.05
A1	Sample 1	1	2	1	16330	25.49	7.04
A1	Sample 1	1	2	1	17610	25.87	7.07
A1	Sample 1	1	2	1	18870	26.21	7.04
A1	Sample 1	1	2	1	20140	26.52	7.02
A1	Sample 1	1	2	1	21420	26.83	7.04
A1	Sample 1	1	2	1	22700	27.21	7.05
A1	Sample 1	1	2	1	23960	27.58	7.09
A1	Sample 1	1	2	1	25230	27.88	7.05
A1	Sample 1	1	2	1	26500	28.3	7.03
A1	Sample 1	1	2	1	27760	28.61	7.05
A1	Sample 1	1	2	1	29030	28.96	7.06
A1	Sample 1	1	2	1	30300	29.3	7.05
A1	Sample 1	1	2	1	31560	29.65	7.06
A1	Sample 1	1	2	1	32820	30	7.05
A1	Sample 1	1	2	1	34100	30.33	7.05
A1	Sample 1	1	2	1	35380	30.72	7.05
A1	Sample 1	1	2	1	36650	31.06	7.09
A1	Sample 1	1	2	1	37910	31.33	7.09
A1	Sample 1	1	2	1	39170	31.77	7.07
A1	Sample 1	1	2	1	40440	32.09	7.07
A1	Sample 1	1	2	1	41700	32.41	7.09
A1	Sample 1	1	2	1	42970	32.78	7.09
A1	Sample 1	1	2	1	44220	33.04	7.08
A1	Sample 1	1	2	1	45500	33.41	7.11
A1	Sample 1	1	2	1	46760	33.82	7.09
A1	Sample 1	1	2	1	48020	34.07	7.08
A1	Sample 1	1	2	1	49300	34.48	7.13
A1	Sample 1	1	2	1	50560	34.82	7.15
A1	Sample 1	1	2	1	51840	35.12	7.16
A1	Sample 1	1	2	1	53100	35.5	7.19
A1	Sample 1	1	2	1	54370	35.8	7.19
A1	Sample 1	1	2	1	55640	36.14	7.23
A1	Sample 1	1	2	1	56920	36.48	7.25
A1	Sample 1	1	2	1	58200	36.86	7.27
A1	Sample 1	1	2	1	59460	37.23	7.30
