Run ID,3420,,,,,,,,,,,,,,,,,,,
Run Date/Time,1/18/2017 11:13,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,1.5.6,,,,,,,,,,,,,,,,,,,
Protocol Name,2017-01-18 - Protocol - OICR library round 6_2 (44-50)- partial repeat on 384 - MLLT1A - SingleShot 50nl transfer - TC.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[44],,384LDV_DMSO,B7,0.005,M,Destination Plate[1],,Proxiplate_384PS,A1,0.0001923,M,XST00015433a,Sample 98,200,200,9.546,78.366,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,B7,0.005,M,Destination Plate[1],,Proxiplate_384PS,B1,0.0001923,M,XST00015433a,Sample 98,200,200,9.346,78.366,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,H7,0.005,M,Destination Plate[1],,Proxiplate_384PS,B3,0.0001923,M,XST00015553a,Sample 104,200,200,9.851,84.616,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,H7,0.005,M,Destination Plate[1],,Proxiplate_384PS,A3,0.0001923,M,XST00015553a,Sample 104,200,200,9.651,84.616,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,F7,0.005,M,Destination Plate[1],,Proxiplate_384PS,E2,0.0001923,M,XST00015513a,Sample 102,200,200,9.65,82.505,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,F7,0.005,M,Destination Plate[1],,Proxiplate_384PS,F2,0.0001923,M,XST00015513a,Sample 102,200,200,9.45,82.505,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,L7,0.005,M,Destination Plate[1],,Proxiplate_384PS,F4,0.0001923,M,XST00015633a,Sample 108,200,200,9.916,84.801,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,L7,0.005,M,Destination Plate[1],,Proxiplate_384PS,E4,0.0001923,M,XST00015633a,Sample 108,200,200,9.716,84.801,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,O7,0.005,M,Destination Plate[1],,Proxiplate_384PS,E5,0.0001923,M,XST00015693a,Sample 111,200,200,9.808,83.872,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,O7,0.005,M,Destination Plate[1],,Proxiplate_384PS,F5,0.0001923,M,XST00015693a,Sample 111,200,200,9.608,83.872,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,O8,0.005,M,Destination Plate[1],,Proxiplate_384PS,G5,0.0001923,M,XST00015694a,Sample 127,200,200,9.89,83.9,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,O8,0.005,M,Destination Plate[1],,Proxiplate_384PS,H5,0.0001923,M,XST00015694a,Sample 127,200,200,9.69,83.9,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,L8,0.005,M,Destination Plate[1],,Proxiplate_384PS,H4,0.0001923,M,XST00015634a,Sample 124,200,200,9.872,84.729,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,L8,0.005,M,Destination Plate[1],,Proxiplate_384PS,G4,0.0001923,M,XST00015634a,Sample 124,200,200,9.672,84.729,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,F8,0.005,M,Destination Plate[1],,Proxiplate_384PS,G2,0.0001923,M,XST00015514a,Sample 118,200,200,9.884,84.387,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,F8,0.005,M,Destination Plate[1],,Proxiplate_384PS,H2,0.0001923,M,XST00015514a,Sample 118,200,200,9.684,84.387,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,H8,0.005,M,Destination Plate[1],,Proxiplate_384PS,D3,0.0001923,M,XST00015554a,Sample 120,200,200,9.923,84.82,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,H8,0.005,M,Destination Plate[1],,Proxiplate_384PS,C3,0.0001923,M,XST00015554a,Sample 120,200,200,9.723,84.82,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,B8,0.005,M,Destination Plate[1],,Proxiplate_384PS,C1,0.0001923,M,XST00015434a,Sample 114,200,200,9.988,77.843,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,B8,0.005,M,Destination Plate[1],,Proxiplate_384PS,D1,0.0001923,M,XST00015434a,Sample 114,200,200,9.788,77.843,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,E11,0.005,M,Destination Plate[1],,Proxiplate_384PS,B2,0.0001923,M,XST00015497a,Sample 165,200,200,9.911,84.597,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,E11,0.005,M,Destination Plate[1],,Proxiplate_384PS,A2,0.0001923,M,XST00015497a,Sample 165,200,200,9.711,84.597,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,K11,0.005,M,Destination Plate[1],,Proxiplate_384PS,A4,0.0001923,M,XST00015617a,Sample 171,200,200,9.922,84.938,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,K11,0.005,M,Destination Plate[1],,Proxiplate_384PS,B4,0.0001923,M,XST00015617a,Sample 171,200,200,9.722,84.938,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,N11,0.005,M,Destination Plate[1],,Proxiplate_384PS,B5,0.0001923,M,XST00015677a,Sample 174,200,200,9.961,84.286,Percent,DMSO,
Source Plate[44],,384LDV_DMSO,N11,0.005,M,Destination Plate[1],,Proxiplate_384PS,A5,0.0001923,M,XST00015677a,Sample 174,200,200,9.761,84.286,Percent,DMSO,
