Run ID,5583,,,,,,,,,,,,,,,,,,,
Run Date/Time,20.21.2021 21:22,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,01.05.2007,,,,,,,,,,,,,,,,,,,
Protocol Name,Dummy.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A1,2.24E-05,M,Sample 1,Sample 1,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B1,1.12E-05,M,Sample 1,Sample 1,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C1,7.45E-06,M,Sample 1,Sample 1,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D1,3.73E-06,M,Sample 1,Sample 1,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E1,2.24E-06,M,Sample 1,Sample 1,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F1,1.12E-06,M,Sample 1,Sample 1,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G1,7.45E-07,M,Sample 1,Sample 1,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H1,3.73E-07,M,Sample 1,Sample 1,2.5,2.5,8.44,74.51,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,I1,1.75E-07,M,Sample 1,Sample 1,75,75,22.462,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,J1,1.16E-07,M,Sample 1,Sample 1,50,50,22.412,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,K1,5.82E-08,M,Sample 1,Sample 1,25,25,22.387,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,L1,3.49E-08,M,Sample 1,Sample 1,15,15,22.372,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,M1,1.75E-08,M,Sample 1,Sample 1,7.5,7.5,22.364,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,N1,1.16E-08,M,Sample 1,Sample 1,5,5,22.359,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,O1,5.82E-09,M,Sample 1,Sample 1,2.5,2.5,22.357,99.701,Percent,DMSO,
