Run ID,3360,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Date/Time,04.01.2017 09:45,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Version,01.05.2006,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol Name,2017-01-04 - Protocol - OICR library round 3 (17-25) - MLLT1A - SingleShot 50nl transfer - TC.edr,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status,,,,,,,
Sourceplate[17],,384LDV_DMSO,A3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,E1,4.95E-05,M,XS116310b,Sample 33,50,50,10.239,74.31,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,A3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,F1,4.95E-05,M,XS116310b,Sample 33,50,50,10.189,74.31,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,C3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,B4,4.95E-05,M,XS015128b,Sample 35,50,50,9.895,89.491,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,C3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,A4,4.95E-05,M,XS015128b,Sample 35,50,50,9.845,89.491,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,D3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,I5,4.95E-05,M,XS048380c,Sample 36,50,50,10.221,90.303,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,D3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,J5,4.95E-05,M,XS048380c,Sample 36,50,50,10.171,90.303,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,E3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Q6,4.95E-05,M,XS116991b,Sample 37,50,50,10.022,90.195,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,E3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,R6,4.95E-05,M,XS116991b,Sample 37,50,50,9.972,90.195,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,F3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Y7,4.95E-05,M,XS036584c,Sample 38,50,50,10.186,70,Percent,DMSO,,,,,,,,
Sourceplate[17],,384LDV_DMSO,F3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Z7,4.95E-05,M,XS036584c,Sample 38,50,50,10.136,70,Percent,DMSO,,,,,,,,
