Run ID,7016,,,,,,,,,,,,,,,,,,,
Run Date/Time,13/06/2020 13:57,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,1.5.7,,,,,,,,,,,,,,,,,,,
Protocol Name,Picklist6.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate2[1],Janine Compounds plate 2 PP,1536LDV_DMSO,N31,0.05,M,Destination Plate[1],,384PP_Dest,M4,0.00025,M,JG032,Sample 974,100,100,2.443,70,Percent,DMSO,
Source Plate2[1],Janine Compounds plate 2 PP,1536LDV_DMSO,N31,0.05,M,Destination Plate[1],,384PP_Dest,M5,0.00025,M,JG032,Sample 974,100,100,2.343,70,Percent,DMSO,
Source Plate2[1],Janine Compounds plate 2 PP,1536LDV_DMSO,N31,0.05,M,Destination Plate[1],,384PP_Dest,M6,0.00025,M,JG032,Sample 974,100,100,2.243,70,Percent,DMSO,
Source Plate2[1],Janine Compounds plate 2 PP,1536LDV_DMSO,N11,0.05,M,Destination Plate[1],,384PP_Dest,L4,0.00025,M,JG015,Sample 334,100,100,2.678,76.24,Percent,DMSO,
Source Plate2[1],Janine Compounds plate 2 PP,1536LDV_DMSO,N11,0.05,M,Destination Plate[1],,384PP_Dest,L5,0.00025,M,JG015,Sample 334,100,100,2.578,76.24,Percent,DMSO,
Source Plate2[1],Janine Compounds plate 2 PP,1536LDV_DMSO,N11,0.05,M,Destination Plate[1],,384PP_Dest,L6,0.00025,M,JG015,Sample 334,100,100,2.478,76.24,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N19,0.125,M,Destination Plate[1],,384PP_Dest,K4,0.00025,M,JG021,Sample 590,40,40,2.89,70,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N19,0.125,M,Destination Plate[1],,384PP_Dest,K5,0.00025,M,JG021,Sample 590,40,40,2.85,70,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N19,0.125,M,Destination Plate[1],,384PP_Dest,K6,0.00025,M,JG021,Sample 590,40,40,2.81,70,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N5,0.25,M,Destination Plate[1],,384PP_Dest,B4,0.00025,M,JG002,Sample 142,20,20,2.815,79.268,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N5,0.25,M,Destination Plate[1],,384PP_Dest,B5,0.00025,M,JG002,Sample 142,20,20,2.795,79.268,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N5,0.25,M,Destination Plate[1],,384PP_Dest,B6,0.00025,M,JG002,Sample 142,20,20,2.775,79.268,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N7,0.25,M,Destination Plate[1],,384PP_Dest,C6,0.00025,M,JG008,Sample 206,20,20,3.194,79.081,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N7,0.25,M,Destination Plate[1],,384PP_Dest,C5,0.00025,M,JG008,Sample 206,20,20,3.174,79.081,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N7,0.25,M,Destination Plate[1],,384PP_Dest,C4,0.00025,M,JG008,Sample 206,20,20,3.154,79.081,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N9,0.25,M,Destination Plate[1],,384PP_Dest,D4,0.00025,M,JG013,Sample 270,20,20,3.345,79.409,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N9,0.25,M,Destination Plate[1],,384PP_Dest,D5,0.00025,M,JG013,Sample 270,20,20,3.325,79.409,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N9,0.25,M,Destination Plate[1],,384PP_Dest,D6,0.00025,M,JG013,Sample 270,20,20,3.305,79.409,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N13,0.25,M,Destination Plate[1],,384PP_Dest,E6,0.00025,M,JG016,Sample 398,20,20,3.052,79.237,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N13,0.25,M,Destination Plate[1],,384PP_Dest,E5,0.00025,M,JG016,Sample 398,20,20,3.032,79.237,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N13,0.25,M,Destination Plate[1],,384PP_Dest,E4,0.00025,M,JG016,Sample 398,20,20,3.012,79.237,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N15,0.25,M,Destination Plate[1],,384PP_Dest,F4,0.00025,M,JG017,Sample 462,20,20,3.039,79.084,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N15,0.25,M,Destination Plate[1],,384PP_Dest,F5,0.00025,M,JG017,Sample 462,20,20,3.019,79.084,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N15,0.25,M,Destination Plate[1],,384PP_Dest,F6,0.00025,M,JG017,Sample 462,20,20,2.999,79.084,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N17,0.25,M,Destination Plate[1],,384PP_Dest,G6,0.00025,M,JG019,Sample 526,20,20,3.152,70,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N17,0.25,M,Destination Plate[1],,384PP_Dest,G5,0.00025,M,JG019,Sample 526,20,20,3.132,70,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N17,0.25,M,Destination Plate[1],,384PP_Dest,G4,0.00025,M,JG019,Sample 526,20,20,3.112,70,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N21,0.25,M,Destination Plate[1],,384PP_Dest,H4,0.00025,M,JG022,Sample 654,20,20,3.083,77.045,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N21,0.25,M,Destination Plate[1],,384PP_Dest,H5,0.00025,M,JG022,Sample 654,20,20,3.063,77.045,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N21,0.25,M,Destination Plate[1],,384PP_Dest,H6,0.00025,M,JG022,Sample 654,20,20,3.043,77.045,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N23,0.25,M,Destination Plate[1],,384PP_Dest,I6,0.00025,M,JG023,Sample 718,20,20,3,77.473,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N23,0.25,M,Destination Plate[1],,384PP_Dest,I5,0.00025,M,JG023,Sample 718,20,20,2.98,77.473,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N23,0.25,M,Destination Plate[1],,384PP_Dest,I4,0.00025,M,JG023,Sample 718,20,20,2.96,77.473,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N25,0.25,M,Destination Plate[1],,384PP_Dest,J4,0.00025,M,JG024,Sample 782,20,20,2.829,74.286,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N25,0.25,M,Destination Plate[1],,384PP_Dest,J5,0.00025,M,JG024,Sample 782,20,20,2.809,74.286,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N25,0.25,M,Destination Plate[1],,384PP_Dest,J6,0.00025,M,JG024,Sample 782,20,20,2.789,74.286,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N27,0.25,M,Destination Plate[1],,384PP_Dest,N3,0.00025,M,JG025,Sample 846,20,20,3.231,77.554,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N27,0.25,M,Destination Plate[1],,384PP_Dest,N2,0.00025,M,JG025,Sample 846,20,20,3.211,77.554,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N27,0.25,M,Destination Plate[1],,384PP_Dest,N1,0.00025,M,JG025,Sample 846,20,20,3.191,77.554,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N29,0.25,M,Destination Plate[1],,384PP_Dest,O1,0.00025,M,JG028,Sample 910,20,20,3.222,77.282,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N29,0.25,M,Destination Plate[1],,384PP_Dest,O2,0.00025,M,JG028,Sample 910,20,20,3.202,77.282,Percent,DMSO,
Source Plate2[1],Janine Plate 2 Resoaks,1536LDV_DMSO,N29,0.25,M,Destination Plate[1],,384PP_Dest,O3,0.00025,M,JG028,Sample 910,20,20,3.182,77.282,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,E2,0.125,M,Destination Plate[1],,384PP_Dest,M1,0.00025,M,JG038,Sample 21,40,40,12.168,84.792,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,E2,0.125,M,Destination Plate[1],,384PP_Dest,M2,0.00025,M,JG038,Sample 21,40,40,12.128,84.792,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,E2,0.125,M,Destination Plate[1],,384PP_Dest,M3,0.00025,M,JG038,Sample 21,40,40,12.088,84.792,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,D2,0.25,M,Destination Plate[1],,384PP_Dest,J1,0.00025,M,JG001,Sample 20,20,20,11.965,85.519,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,D2,0.25,M,Destination Plate[1],,384PP_Dest,J2,0.00025,M,JG001,Sample 20,20,20,11.945,85.519,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,D2,0.25,M,Destination Plate[1],,384PP_Dest,J3,0.00025,M,JG001,Sample 20,20,20,11.925,85.519,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,F2,0.25,M,Destination Plate[1],,384PP_Dest,K3,0.00025,M,JG039,Sample 22,20,20,11.018,84.571,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,F2,0.25,M,Destination Plate[1],,384PP_Dest,K2,0.00025,M,JG039,Sample 22,20,20,10.998,84.571,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,F2,0.25,M,Destination Plate[1],,384PP_Dest,K1,0.00025,M,JG039,Sample 22,20,20,10.978,84.571,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,G2,0.25,M,Destination Plate[1],,384PP_Dest,L1,0.00025,M,JG007,Sample 23,20,20,12.006,85.153,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,G2,0.25,M,Destination Plate[1],,384PP_Dest,L2,0.00025,M,JG007,Sample 23,20,20,11.986,85.153,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,G2,0.25,M,Destination Plate[1],,384PP_Dest,L3,0.00025,M,JG007,Sample 23,20,20,11.966,85.153,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,L1,0.1,M,Destination Plate[1],,384PP_Dest,E1,0.00025,M,Z56880342,Sample 12,50,50,7.149,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,L1,0.1,M,Destination Plate[1],,384PP_Dest,E2,0.00025,M,Z56880342,Sample 12,50,50,7.099,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,L1,0.1,M,Destination Plate[1],,384PP_Dest,E3,0.00025,M,Z56880342,Sample 12,50,50,7.049,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,P1,0.1,M,Destination Plate[1],,384PP_Dest,F3,0.00025,M,Z166605410,Sample 16,50,50,9.441,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,P1,0.1,M,Destination Plate[1],,384PP_Dest,F2,0.00025,M,Z166605410,Sample 16,50,50,9.391,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,P1,0.1,M,Destination Plate[1],,384PP_Dest,F1,0.00025,M,Z166605410,Sample 16,50,50,9.341,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,A2,0.1,M,Destination Plate[1],,384PP_Dest,G1,0.00025,M,Z425389554,Sample 17,50,50,10.443,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,A2,0.1,M,Destination Plate[1],,384PP_Dest,G2,0.00025,M,Z425389554,Sample 17,50,50,10.393,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,A2,0.1,M,Destination Plate[1],,384PP_Dest,G3,0.00025,M,Z425389554,Sample 17,50,50,10.343,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,B2,0.1,M,Destination Plate[1],,384PP_Dest,H3,0.00025,M,Z111874904,Sample 18,50,50,9.954,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,B2,0.1,M,Destination Plate[1],,384PP_Dest,H2,0.00025,M,Z111874904,Sample 18,50,50,9.904,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,B2,0.1,M,Destination Plate[1],,384PP_Dest,H1,0.00025,M,Z111874904,Sample 18,50,50,9.854,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,C2,0.1,M,Destination Plate[1],,384PP_Dest,I1,0.00025,M,Z291278940,Sample 19,50,50,10.82,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,C2,0.1,M,Destination Plate[1],,384PP_Dest,I2,0.00025,M,Z291278940,Sample 19,50,50,10.77,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,C2,0.1,M,Destination Plate[1],,384PP_Dest,I3,0.00025,M,Z291278940,Sample 19,50,50,10.72,70,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,K1,0.05,M,Destination Plate[1],,384PP_Dest,B1,0.00025,M,DK2,Sample 11,100,100,12.867,73.594,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,K1,0.05,M,Destination Plate[1],,384PP_Dest,B2,0.00025,M,DK2,Sample 11,100,100,12.767,73.594,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,K1,0.05,M,Destination Plate[1],,384PP_Dest,B3,0.00025,M,DK2,Sample 11,100,100,12.667,73.594,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,M1,0.05,M,Destination Plate[1],,384PP_Dest,C3,0.00025,M,PG62,Sample 13,100,100,9.008,73.363,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,M1,0.05,M,Destination Plate[1],,384PP_Dest,C2,0.00025,M,PG62,Sample 13,100,100,8.908,73.363,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,M1,0.05,M,Destination Plate[1],,384PP_Dest,C1,0.00025,M,PG62,Sample 13,100,100,8.808,73.363,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,O1,0.05,M,Destination Plate[1],,384PP_Dest,D1,0.00025,M,RS-009-001,Sample 15,100,100,9.978,73.582,Percent,DMSO,
Source Plate[1],Carmen Plate1,384LDV_DMSO,O1,0.05,M,Destination Plate[1],,384PP_Dest,D2,0.00025,M,RS-009-001,Sample 15,100,100,9.878,73.582,Percent,DMSO,
